
Dasa7661,1,1350
LuDo9745,1,1350
LeJa2818,2,1800
GuRe5208,1,500
EmNi5512,1,500
SoJo6789,1,1350
LaPe2468,1,1350
HeLa1357,1,1800
NiJe8642,1,500
IdAn6420,1,1350
MoSø9513,1,1350
FrPe3086,1,1800
ViNg4725,1,500
JaPa6093,1,1350
MaCh2085,1,1350
ThOl5823,1,1800
KrKn4023,1,500
LiMo7351,1,1800
AnPe6251,1,500
OlWi3095,1,1350
EmHa7743,1,1350
NoPe1350,1,1800
LuSc9821,1,500
FiHo7539,1,1800
AlBe2084,1,500
YuMe5023,1,1350
SoLi6094,1,1350
LeYo8723,1,1800
JiKi4502,1,500
RuSh7530,1,1350
EdNo4012,1,1350
TiBa9143,1,1800
RaAl6723,1,500
SaKa5029,1,500
HaEl7531,1,1350
MiSh9143,1,1350
BeGr5023,1,1800
JoMa6723,1,500
KaKo4012,1,1350
SeMo5023,1,1350
InSu6723,1,1800
ElPr4012,1,500
ToBr9143,1,1350
FeLi5023,1,1350
NiCh4012,1,1800
HeGu9143,1,500
RoBa5023,1,1800
SiHo6723,1,500
LiPe9143,1,1350
OsHa7531,2,1350
AmSm1285,2,1800
ErSi9142,2,500
MaJu6412,2,1800
AmHa3087,2,500
EvJo4012,2,1350
LuAn9143,2,1350
IsWi6723,2,1800
TyLe4012,2,500
MiTh5023,2,1800
AlGr6723,2,1350
ErWi4012,2,500
AlSe8746,1,1800
TyHa3263,1,1350
