
Dasa7661,3,2
LuDo9745,1,3
LeJa2818,3,3
EmNi5512,1,1
SoJo6789,1,1
LaPe2468,4,2
HeLa1357,1,1
NiJe8642,4,1
OsHa7531,1,3
IdAn6420,1,1
MoSø9513,3,1
FrPe3086,1,1
ViNg4725,3,2
AmSm1285,1,1
JaPa6093,1,1
MaCh2085,1,3
ThOl5823,1,1
KrKn4023,3,4
LiMo7351,1,1
ErSi9142,1,1
AnPe6251,2,4
OlWi3095,1,1
EmHa7743,1,4
NoPe1350,3,1
LuSc9821,1,1
MaJu6412,1,3
FiHo7539,1,1
AlBe2084,2,3
YuMe5023,1,1
SoLi6094,1,1
LeYo8723,3,1
JiKi4502,1,1
AmHa3087,4,3
RuSh7530,1,1
EdNo4012,1,1
TiBa9143,1,2
RaAl6723,3,1
SaKa5029,1,1
HaEl7531,1,3
EvJo4012,3,1
MiSh9143,1,1
BeGr5023,1,1
JoMa6723,4,2
KaKo4012,1,1
LuAn9143,1,1
SeMo5023,4,3
InSu6723,1,1
ElPr4012,2,4
ToBr9143,1,1
FeLi5023,1,3
IsWi6723,4,1
NiCh4012,1,1
HeGu9143,1,4
RoBa5023,2,1
SiHo6723,1,1
TyLe4012,4,4
LiPe9143,1,1
AlSe8746,2,3
TyHa3263,4,2
